time,rain
2020-10-04T14:58:36Z,4
2020-10-04T15:03:38Z,4
2020-10-04T15:08:35Z,33
2020-10-04T15:13:40Z,27
2020-10-04T15:18:33Z,20
2020-10-04T15:23:33Z,28
2020-10-04T15:28:30Z,26
2020-10-04T15:33:37Z,23
2020-10-04T15:38:30Z,23
2020-10-04T15:43:38Z,25
2020-10-04T15:48:30Z,17
2020-10-04T15:53:40Z,14
2020-10-04T15:58:32Z,14
2020-10-04T16:03:25Z,15
2020-10-04T16:08:31Z,14
2020-10-04T16:13:24Z,13
2020-10-04T16:18:32Z,12
2020-10-04T16:23:23Z,12
2020-10-04T16:28:31Z,13
2020-10-04T16:33:28Z,12
2020-10-04T16:38:35Z,12
2020-10-04T16:43:27Z,12
2020-10-04T16:48:34Z,12
2020-10-04T16:53:26Z,12
2020-10-04T16:58:33Z,11
2020-10-04T17:03:25Z,12
2020-10-04T17:08:31Z,12
2020-10-04T17:13:23Z,11
2020-10-04T17:18:31Z,11
2020-10-04T17:23:23Z,10
2020-10-04T17:28:33Z,8
2020-10-04T17:33:24Z,8
2020-10-04T17:38:31Z,8
2020-10-04T17:43:24Z,7
2020-10-04T17:48:31Z,6
2020-10-04T17:53:23Z,6
2020-10-04T17:58:30Z,6
2020-10-04T18:03:21Z,6
2020-10-04T18:08:42Z,6
2020-10-04T18:13:39Z,6
2020-10-04T18:18:34Z,6
2020-10-04T18:23:31Z,6
2020-10-04T18:28:31Z,6
2020-10-04T18:33:32Z,6
2020-10-04T18:38:35Z,6
2020-10-04T18:43:26Z,6
2020-10-04T18:48:32Z,6
2020-10-04T18:53:34Z,6
2020-10-04T18:58:30Z,6
2020-10-04T19:03:34Z,6
2020-10-04T19:08:28Z,6
2020-10-04T19:13:41Z,6
2020-10-04T19:18:40Z,6
2020-10-04T19:23:32Z,6
2020-10-04T19:28:15Z,6
2020-10-04T19:33:22Z,6
2020-10-04T19:38:29Z,6
2020-10-04T19:43:22Z,6
2020-10-04T19:48:17Z,6
2020-10-04T19:53:23Z,6
2020-10-04T19:58:15Z,6
2020-10-04T20:03:22Z,6
2020-10-04T20:08:14Z,6
2020-10-04T20:13:22Z,6
2020-10-04T20:18:13Z,6
2020-10-04T20:23:19Z,6
2020-10-04T20:28:26Z,6
2020-10-04T20:33:23Z,6
2020-10-04T20:38:16Z,7
2020-10-04T20:43:23Z,7
2020-10-04T20:48:18Z,7
2020-10-04T20:53:13Z,8
2020-10-04T20:58:20Z,8
2020-10-04T21:03:12Z,9
2020-10-04T21:08:18Z,9
2020-10-04T21:13:25Z,9
2020-10-04T21:18:17Z,9
2020-10-04T21:23:25Z,9
2020-10-04T21:28:17Z,8
2020-10-04T21:33:24Z,9
2020-10-04T21:38:17Z,9
2020-10-04T21:43:23Z,8
2020-10-04T21:48:15Z,9
2020-10-04T21:53:22Z,9
2020-10-04T21:58:16Z,12
2020-10-04T22:03:22Z,21
2020-10-04T22:08:18Z,23
2020-10-04T22:13:10Z,22
2020-10-04T22:18:20Z,21
2020-10-04T22:23:13Z,20
2020-10-04T22:28:20Z,20
2020-10-04T22:33:13Z,18
2020-10-04T22:38:22Z,18
2020-10-04T22:43:14Z,18
2020-10-04T22:48:22Z,19
2020-10-04T22:53:14Z,19
2020-10-04T22:58:20Z,19
2020-10-04T23:03:13Z,22
2020-10-04T23:08:21Z,23
2020-10-04T23:13:14Z,22
2020-10-04T23:18:08Z,21
2020-10-04T23:23:15Z,22
2020-10-04T23:28:07Z,21
2020-10-04T23:33:14Z,22
2020-10-04T23:38:20Z,22
2020-10-04T23:43:12Z,22
2020-10-04T23:48:20Z,21
2020-10-04T23:53:12Z,21
2020-10-04T23:58:20Z,27
2020-10-05T00:03:13Z,35
2020-10-05T00:08:07Z,39
2020-10-05T00:13:20Z,42
2020-10-05T00:18:13Z,44
2020-10-05T00:23:08Z,46
2020-10-05T00:28:16Z,47
2020-10-05T00:33:09Z,46
2020-10-05T00:38:18Z,46
2020-10-05T00:43:12Z,46
2020-10-05T00:48:04Z,46
2020-10-05T00:53:12Z,46
2020-10-05T00:58:04Z,44
2020-10-05T01:03:15Z,44
2020-10-05T01:08:07Z,44
2020-10-05T01:13:16Z,43
2020-10-05T01:18:09Z,44
2020-10-05T01:23:16Z,43
2020-10-05T01:28:08Z,42
2020-10-05T01:33:16Z,42
2020-10-05T01:38:12Z,42
2020-10-05T01:43:04Z,41
2020-10-05T01:48:12Z,42
2020-10-05T01:53:04Z,42
2020-10-05T01:58:11Z,41
2020-10-05T02:03:10Z,43
2020-10-05T02:08:02Z,44
2020-10-05T02:13:10Z,44
2020-10-05T02:18:04Z,43
2020-10-05T02:23:11Z,43
2020-10-05T02:28:03Z,42
2020-10-05T02:33:10Z,42
2020-10-05T02:38:02Z,41
2020-10-05T02:43:09Z,39
2020-10-05T02:48:03Z,39
2020-10-05T02:53:10Z,38
2020-10-05T02:58:04Z,38
2020-10-05T03:03:11Z,38
2020-10-05T03:08:02Z,39
2020-10-05T03:12:59Z,41
2020-10-05T03:18:09Z,40
2020-10-05T03:23:03Z,40
2020-10-05T03:28:11Z,40
2020-10-05T03:33:03Z,41
2020-10-05T03:38:10Z,41
2020-10-05T03:43:02Z,40
2020-10-05T03:48:09Z,39
2020-10-05T03:53:02Z,40
2020-10-05T03:58:09Z,40
2020-10-05T04:03:01Z,41
2020-10-05T04:08:11Z,40
2020-10-05T04:13:03Z,40
2020-10-05T04:18:11Z,39
2020-10-05T04:23:03Z,39
2020-10-05T04:28:10Z,38
2020-10-05T04:33:03Z,41
2020-10-05T04:38:11Z,42
2020-10-05T04:43:04Z,42
2020-10-05T04:47:56Z,42
2020-10-05T04:53:04Z,42
2020-10-05T04:57:56Z,41
2020-10-05T05:03:04Z,41
2020-10-05T05:07:58Z,40
2020-10-05T05:13:05Z,39
2020-10-05T05:17:57Z,39
2020-10-05T05:23:04Z,39
2020-10-05T05:27:57Z,39
2020-10-05T05:33:06Z,38
2020-10-05T05:37:58Z,38
2020-10-05T05:43:05Z,38
2020-10-05T05:47:57Z,37
2020-10-05T05:53:04Z,37
2020-10-05T05:57:57Z,37
2020-10-05T06:03:05Z,37
2020-10-05T06:07:57Z,36
2020-10-05T06:13:04Z,35
2020-10-05T06:17:57Z,36
2020-10-05T06:23:04Z,36
2020-10-05T06:27:57Z,36
2020-10-05T06:33:03Z,36
2020-10-05T06:37:59Z,36
2020-10-05T06:42:51Z,36
2020-10-05T06:47:59Z,36
2020-10-05T06:52:52Z,36
2020-10-05T06:57:59Z,36
2020-10-05T07:02:52Z,36
